Date,Action_Target,Price,Position_State,Portfolio_Value
2025-02-19,FLAT,75939.1796875,0,96422.87109375
2025-02-20,FLAT,75735.9609375,0,96422.87109375
2025-02-21,FLAT,75311.0625,0,96422.87109375
2025-02-24,SHORT,74454.40625,-1,96275.16015625
2025-02-25,FLAT,74602.1171875,0,96270.16015625
2025-02-27,FLAT,74612.4296875,0,96270.16015625
2025-02-28,SHORT,73198.1015625,-1,96382.32421875
2025-03-03,FLAT,73085.9375,0,96377.32421875
2025-03-04,FLAT,72989.9296875,0,96377.32421875
2025-03-05,FLAT,73730.2265625,0,96377.32421875
2025-03-06,FLAT,74340.09375,0,96377.32421875
2025-03-07,FLAT,74332.578125,0,96377.32421875
2025-03-10,FLAT,74115.171875,0,96377.32421875
2025-03-11,FLAT,74102.3203125,0,96377.32421875
2025-03-12,FLAT,74029.7578125,0,96377.32421875
2025-03-13,FLAT,73828.90625,0,96377.32421875
2025-03-17,FLAT,74169.953125,0,96377.32421875
2025-03-18,FLAT,75301.2578125,0,96377.32421875
2025-03-19,FLAT,75449.046875,0,96377.32421875
2025-03-20,FLAT,76348.0625,0,96377.32421875
2025-03-21,FLAT,76905.5078125,0,96377.32421875
2025-03-24,FLAT,77984.3828125,0,96377.32421875
2025-03-25,FLAT,78017.1875,0,96377.32421875
2025-03-26,FLAT,77288.5,0,96377.32421875
2025-03-27,FLAT,77606.4296875,0,96377.32421875
2025-03-28,FLAT,77414.921875,0,96377.32421875
2025-04-01,FLAT,76024.5078125,0,96377.32421875
2025-04-02,FLAT,76617.4375,0,96377.32421875
2025-04-03,FLAT,76295.359375,0,96377.32421875
2025-04-04,FLAT,75364.6875,0,96377.32421875
2025-04-07,LONG,73137.8984375,1,97466.50390625
2025-04-08,SHORT,74227.078125,-1,97841.43359375
2025-04-09,LONG,73847.1484375,1,99146.54296875
2025-04-11,SHORT,75157.2578125,-1,97563.91015625
2025-04-15,FLAT,76734.890625,0,97558.91015625
2025-04-16,FLAT,77044.2890625,0,97558.91015625
2025-04-17,FLAT,78553.203125,0,97558.91015625
2025-04-21,FLAT,79408.5,0,97558.91015625
2025-04-22,FLAT,79595.59375,0,97558.91015625
2025-04-23,FLAT,80116.4921875,0,97558.91015625
2025-04-24,FLAT,79801.4296875,0,97558.91015625
2025-04-25,LONG,79212.53125,1,98564.74609375
2025-04-28,FLAT,80218.3671875,0,98559.74609375
2025-04-29,FLAT,80288.3828125,0,98559.74609375
2025-04-30,FLAT,80242.2421875,0,98559.74609375
2025-05-02,FLAT,80501.9921875,0,98559.74609375
2025-05-05,FLAT,80796.84375,0,98559.74609375
2025-05-06,FLAT,80641.0703125,0,98559.74609375
2025-05-07,FLAT,80746.78125,0,98559.74609375
2025-05-08,FLAT,80334.8125,0,98559.74609375
2025-05-09,SHORT,79454.46875,-1,95584.31640625
2025-05-12,FLAT,82429.8984375,0,95579.31640625
2025-05-13,LONG,81148.21875,1,95761.66015625
2025-05-14,SHORT,81330.5625,-1,94556.48046875
2025-05-15,FLAT,82530.7421875,0,94551.48046875
2025-05-16,FLAT,82330.59375,0,94551.48046875
2025-05-19,FLAT,82059.421875,0,94551.48046875
